10:06:58.518 INFO    thonny: TIME/MODS 0.440 Sending message highlight_occurrences_response 
10:06:59.736 INFO    thonny: TIME/MODS 1.218 Sending message highlight_occurrences_response 
10:07:00.225 INFO    thonny: TIME/MODS 0.489 Sending message highlight_occurrences_response 
10:07:01.312 INFO    thonny: TIME/MODS 1.087 Sending message highlight_occurrences_response (+1 modules)
10:07:01.313 INFO    thonny: NEW MODS ['jedi.inference.finder']
10:07:01.528 INFO    thonny: TIME/MODS 0.215 Sending message highlight_occurrences_response 
10:07:02.243 INFO    thonny: TIME/MODS 0.716 Sending message highlight_occurrences_response 
10:07:03.077 INFO    thonny: TIME/MODS 0.834 Sending message highlight_occurrences_response 
10:07:03.508 INFO    thonny: TIME/MODS 0.430 Sending message highlight_occurrences_response 
10:07:05.044 INFO    thonny: TIME/MODS 1.536 Sending message highlight_occurrences_response 
10:07:05.952 INFO    thonny: TIME/MODS 0.909 Sending message highlight_occurrences_response 
10:07:06.647 INFO    thonny: TIME/MODS 0.695 Sending message highlight_occurrences_response 
10:07:07.625 INFO    thonny: TIME/MODS 0.978 Sending message highlight_occurrences_response 
10:07:09.075 INFO    thonny: TIME/MODS 1.450 Sending message highlight_occurrences_response 
10:07:10.797 INFO    thonny: TIME/MODS 1.723 Sending message highlight_occurrences_response 
10:08:47.686 INFO    thonny: TIME/MODS 96.889 Sending message highlight_occurrences_response 
10:08:51.040 INFO    thonny: TIME/MODS 3.354 Sending message highlight_occurrences_response 
