19:33:43.%f,-55.22,2.01,173.31,-53.00,-21.00,15.00
19:33:43.%f,-58.50,1.26,172.84,-31.00,-15.00,8.00
19:33:43.%f,-60.79,1.00,172.99,-11.00,-19.00,4.00
19:33:43.%f,-62.82,0.83,173.46,-19.00,-21.00,0.00
19:33:43.%f,-64.21,0.22,173.26,-20.00,-6.00,0.00
19:33:43.%f,-65.63,0.29,173.62,-25.00,-3.00,9.00
19:33:43.%f,-67.02,0.53,173.99,-11.00,-17.00,-3.00
19:33:43.%f,-68.94,0.15,173.57,-26.00,-9.00,12.00
19:33:43.%f,-70.32,-0.23,173.17,-17.00,-17.00,16.00
19:33:44.%f,-70.99,-0.83,173.02,-18.00,-5.00,16.00
19:33:44.%f,-71.61,-1.08,173.37,-18.00,-5.00,2.00
19:33:44.%f,-72.14,-1.32,173.31,-14.00,-10.00,7.00
19:33:44.%f,-72.74,-1.34,173.30,-14.00,-7.00,10.00
19:33:44.%f,-73.11,-1.36,173.44,-16.00,-2.00,15.00
19:33:44.%f,-73.17,-1.43,173.63,-26.00,-6.00,8.00
19:33:44.%f,-73.20,-1.37,173.77,-25.00,-10.00,19.00
19:33:44.%f,-73.11,-1.57,173.72,-10.00,-6.00,13.00
19:33:44.%f,-73.05,-1.74,173.85,-3.00,-4.00,12.00
19:33:45.%f,-72.98,-1.86,173.94,0.00,-1.00,0.00
19:33:45.%f,-72.85,-1.77,174.19,-5.00,-9.00,0.00
19:33:45.%f,-72.89,-1.46,173.98,2.00,0.00,12.00
19:33:45.%f,-72.88,-1.36,173.81,-10.00,0.00,17.00
19:33:45.%f,-72.79,-1.04,174.00,0.00,-12.00,16.00
19:33:45.%f,-72.55,-1.31,173.92,-25.00,-2.00,4.00
19:33:45.%f,-72.58,-1.07,174.09,8.00,-6.00,10.00
19:33:45.%f,-72.62,-1.28,173.57,3.00,-1.00,13.00
19:33:45.%f,-72.67,-1.26,173.66,-10.00,-15.00,6.00
19:33:46.%f,-72.76,-1.02,173.63,5.00,-7.00,17.00
19:33:46.%f,-72.95,-1.13,173.49,0.00,-3.00,17.00
19:33:46.%f,-73.12,-1.07,173.63,-9.00,-7.00,13.00
19:33:46.%f,-73.04,-1.09,173.77,-8.00,-17.00,10.00
19:33:46.%f,-73.37,-1.10,173.97,-4.00,-9.00,-7.00
19:33:46.%f,-74.11,-0.97,173.62,16.00,15.00,28.00
19:33:46.%f,-74.90,-0.87,173.69,0.00,-4.00,-4.00
19:33:46.%f,-75.53,-0.77,173.41,-1.00,-2.00,22.00
19:33:47.%f,-75.78,-0.77,173.49,0.00,-11.00,17.00
19:33:47.%f,-75.79,-1.04,173.67,4.00,7.00,13.00
19:33:47.%f,-75.51,-1.21,173.98,9.00,5.00,2.00
19:33:47.%f,-75.04,-1.31,174.08,6.00,-1.00,4.00
19:33:47.%f,-74.66,-1.28,174.04,-1.00,-6.00,11.00
19:33:47.%f,-74.26,-1.30,174.00,-6.00,-3.00,16.00
19:33:47.%f,-73.55,-1.22,174.45,-12.00,-4.00,-9.00
19:33:47.%f,-72.87,-0.89,174.57,25.00,-5.00,11.00
19:33:47.%f,-72.71,-0.88,174.25,-12.00,-8.00,-2.00
19:33:48.%f,-72.76,-0.67,174.01,-7.00,3.00,24.00
19:33:48.%f,-72.81,-0.77,173.98,-8.00,-1.00,24.00
19:33:48.%f,-73.51,-0.36,174.83,-3.00,-1.00,-7.00
19:33:48.%f,-74.62,-0.90,174.31,20.00,-1.00,-2.00
19:33:48.%f,-75.66,-0.66,174.33,12.00,0.00,-14.00
19:33:48.%f,-76.66,-0.61,174.12,-15.00,1.00,-15.00
19:33:48.%f,-77.22,-0.34,174.06,1.00,-9.00,2.00
19:33:48.%f,-77.79,-0.19,174.22,22.00,-9.00,30.00
19:33:48.%f,-78.22,-0.51,174.35,17.00,-2.00,51.00
19:33:49.%f,-77.61,-0.71,174.57,10.00,19.00,48.00
19:33:49.%f,-77.09,-1.29,174.64,-4.00,4.00,17.00
19:33:49.%f,-76.45,-1.91,173.57,23.00,13.00,25.00
19:33:49.%f,-76.25,-1.83,174.47,21.00,-5.00,-19.00
19:33:49.%f,-76.31,-2.92,173.61,-16.00,-8.00,-23.00
19:33:49.%f,-76.62,-2.58,173.54,1.00,-10.00,31.00
19:33:49.%f,-77.13,-2.46,173.41,-5.00,-7.00,19.00
19:33:49.%f,-77.52,-2.64,173.39,-11.00,-9.00,6.00
19:33:49.%f,-77.96,-2.63,173.41,7.00,0.00,7.00
19:33:50.%f,-78.55,-2.87,173.07,5.00,14.00,15.00
19:33:50.%f,-78.73,-2.77,173.32,7.00,-5.00,3.00
19:33:50.%f,-79.61,-2.79,173.00,10.00,7.00,16.00
19:33:50.%f,-81.18,-2.62,172.99,-1.00,-25.00,16.00
19:33:50.%f,-83.52,-2.90,171.92,-5.00,-5.00,20.00
19:33:50.%f,-86.78,-3.44,170.86,3.00,0.00,11.00
19:33:50.%f,-89.66,-3.63,170.53,-14.00,-10.00,-10.00
19:33:50.%f,-91.15,-3.27,169.95,-5.00,13.00,25.00
19:33:50.%f,-93.02,-3.93,168.70,4.00,21.00,33.00
19:33:51.%f,-95.07,-4.50,169.39,-25.00,-29.00,-10.00
19:33:51.%f,-95.30,-4.74,169.03,-21.00,-20.00,30.00
19:33:51.%f,-97.09,-5.26,168.01,-17.00,7.00,13.00
19:33:51.%f,-100.13,-5.02,168.43,-22.00,5.00,13.00
19:33:51.%f,-102.30,-4.99,168.67,-31.00,-9.00,21.00
19:33:51.%f,-104.02,-5.00,169.39,-13.00,-17.00,26.00
19:33:51.%f,-105.08,-5.44,170.07,-23.00,-25.00,-1.00
19:33:51.%f,-104.48,-6.17,170.31,6.00,-3.00,24.00
19:33:51.%f,-103.42,-6.45,170.78,-34.00,-26.00,-3.00
19:33:52.%f,-103.88,-6.29,170.95,5.00,27.00,59.00
19:33:52.%f,-105.48,-5.43,171.86,-10.00,51.00,20.00
19:33:52.%f,-108.09,-5.07,172.47,-21.00,40.00,-8.00
19:33:52.%f,-111.19,-4.96,172.11,-45.00,20.00,12.00
19:33:52.%f,-115.43,-4.53,172.42,-26.00,-37.00,20.00
19:33:52.%f,-119.21,-4.30,171.33,6.00,-40.00,21.00
19:33:52.%f,-122.34,-3.63,171.97,4.00,-50.00,4.00
19:33:52.%f,-123.69,-2.58,172.94,16.00,-21.00,31.00
19:33:52.%f,-124.49,-2.55,173.35,0.00,-24.00,10.00
19:33:53.%f,-125.59,-2.85,174.01,-48.00,-7.00,-5.00
19:33:53.%f,-127.00,-2.41,173.26,-45.00,39.00,46.00
19:33:53.%f,-129.14,-2.69,173.60,-46.00,3.00,11.00
19:33:53.%f,-131.41,-2.56,173.12,-23.00,20.00,0.00
19:33:53.%f,-134.03,-2.95,171.51,-35.00,8.00,-1.00
19:33:53.%f,-137.27,-2.16,171.61,-6.00,-37.00,-1.00
19:33:53.%f,-141.02,-1.85,171.60,-5.00,-60.00,13.00
19:33:53.%f,-144.01,-1.93,171.92,25.00,-54.00,-19.00
